Physiology	and	phenology	parameters	for	plants	simulated	in	DNDC									
        Crop_ID       Crop_name   max_biomass_C  grain_fraction   leaf_fraction   stem_fraction   root_fraction         GrainCN          LeafCN          StemCN          RootCN     WaterDemand        OptimumT             TDD       Nfixation     Vascularity   PerennialCrop 
              0          Fallow        0.000000       0.100000       0.250000       0.250000       0.400000       1.000000       1.000000       1.000000       1.000000       0.000000      20.000000       0.000000       1.000000       0.000000              0 
              1            Corn    10309.000000       0.400000       0.220000       0.220000       0.160000      50.000000      80.000000      80.000000      80.000000     150.000000      30.000000    2550.000000       1.000000       0.000000              0 
              2    Winter_wheat     7610.000000       0.410000       0.210000       0.210000       0.170000      40.000000      95.000000      95.000000      95.000000     200.000000      22.000000    1300.000000       1.000000       0.000000              0 
              3         Soybean     3512.000000       0.350000       0.220000       0.220000       0.200000      10.000000      45.000000      45.000000      24.000000     350.000000      25.000000    1500.000000       2.500000       0.000000              0 
              4      Legume_hay    11000.000000       0.010000       0.400000       0.400000       0.190000      50.000000      50.000000      50.000000      90.000000     550.000000      21.000000    2500.000000       2.500000       0.000000              0 
              5  Non_legume_hay    11000.000000       0.500000       0.200000       0.110000       0.190000      80.000000      80.000000      80.000000      90.000000     550.000000      21.000000    2500.000000       2.000000       0.000000              0 
              6    Spring_wheat     7800.000000       0.400000       0.220000       0.220000       0.160000      50.000000      80.000000      80.000000      80.000000     300.000000      22.000000    1500.000000       1.000000       0.000000              0 
              7       Sugarcane    17760.000000       0.010000       0.440000       0.440000       0.100000     150.000000     130.000000     130.000000     150.000000     500.000000      32.000000    5000.000000       1.000000       0.000000              0 
              8          Barley     8320.000000       0.300000       0.230000       0.230000       0.230000      45.000000      75.000000      75.000000      85.000000     250.000000      21.000000    1300.000000       1.000000       0.000000              0 
              9            Oats    10435.000000       0.230000       0.270000       0.270000       0.230000      35.000000      75.000000      75.000000      85.000000     250.000000      21.000000    1650.000000       1.000000       0.000000              0 
             10         Alfalfa     5614.000000       0.500000       0.050000       0.050000       0.400000      10.000000      10.000000      10.000000      35.000000     300.000000      23.000000    2000.000000       4.000000       0.000000              0 
             11    Annual_grass     4444.000000       0.010000       0.220000       0.220000       0.540000      33.000000      33.000000      33.000000      50.000000     300.000000      21.000000    2500.000000       1.010000       0.000000              0 
             12 Perennial_grass     9333.000000       0.020000       0.350000       0.350000       0.280000      35.000000      35.000000      35.000000      50.000000     200.000000      21.000000    2000.000000       1.500000       0.000000              1 
             13         Sorghum     6857.000000       0.350000       0.280000       0.280000       0.090000      40.000000      69.000000      69.000000      85.000000     200.000000      26.000000    2600.000000       1.000000       0.000000              0 
             14          Cotton     4500.000000       0.320000       0.260000       0.260000       0.160000      10.000000      45.000000      45.000000      75.000000     400.000000      25.000000    2500.000000       1.000000       0.000000              0 
             15             Rye     3048.000000       0.280000       0.230000       0.230000       0.250000      20.000000      50.000000      50.000000      50.000000     250.000000      25.000000    2000.000000       1.000000       0.000000              0 
             16      Vegetables     3692.000000       0.650000       0.150000       0.150000       0.050000      30.000000      30.000000      30.000000      50.000000     500.000000      25.000000    1400.000000       1.000000       0.000000              0 
             17          Papaya    20000.000000       0.200000       0.300000       0.300000       0.200000      30.000000      21.200001      21.200001      50.000000     800.000000      25.000000    5000.000000       1.000000       0.000000              0 
             18          Potato     8571.000000       0.700000       0.130000       0.130000       0.050000      60.000000      60.000000      60.000000      60.000000     415.000000      25.000000    2100.000000       1.000000       0.000000              0 
             19            Beet    11520.000000       0.750000       0.100000       0.100000       0.050000      58.000000      50.000000      50.000000      80.000000     318.000000      25.000000    2550.000000       1.000000       0.000000              0 
             20      Paddy_rice     8238.000000       0.410000       0.230000       0.240000       0.120000      45.000000      85.000000      85.000000      85.000000     508.000000      25.000000    2000.000000       1.050000       1.000000              0 
             21          Banana     8000.000000       0.300000       0.300000       0.300000       0.100000      45.000000      37.000000      37.000000      37.000000     456.000000      25.000000    5000.000000       1.000000       0.000000              0 
             22          Celery     4000.000000       0.010000       0.340000       0.340000       0.320000      12.000000      12.000000      12.000000      21.000000     500.000000      25.000000    1300.000000       1.000000       0.000000              0 
